	index	oldIndex	journal	title	text	year	lang	type	region	PMID	url	key	contentId
0	0	307	Molecular neuropsychiatry	Sex-Specific Effects of Stress on Mood-Related Gene Expression.	"Women are twice as likely as men to be diagnosed with major depressive disorder (MDD). Recent studies report distinct molecular changes in depressed men and women across mesocorticolimbic brain regions. However, it is unclear which sex-related factors drive distinct MDD-associated pathology. The goal of this study was to use mouse experimental systems to investigate sex-specific mechanisms underlying the distinct molecular profiles of MDD in men and women. We used unpredictable chronic mild stress to induce an elevated anxiety-/depressive-like state and ""four core genotypes"" (FCG) mice to probe for sex-specific mechanisms. As predicted, based on previous implications in mood, stress impacted the expression of several dopamine-, GABA-, and glutamate-related genes. Some of these effects, specifically in the prefrontal cortex, were genetic sex-specific, with effects in XX mice but not in XY mice. Stress also impacted gene expression differently across the mesocorticolimbic circuit, with increased expression of mood-related genes in the prefrontal cortex and nucleus accumbens, but decreased expression in basolateral amygdala. Our results suggest that females are sensitive to the effects of chronic stress, partly due to their genetic sex, independent of gonadal hormones. Furthermore, these results point to the prefrontal cortex as the node in the mesocorticolimbic circuitry with the strongest female-specific effects."	2019	eng	Journal Article	Switzerland	31312637	https://www.ncbi.nlm.nih.gov/pubmed/31312637	stress	-4110354420726924665
1	1	234	European journal of internal medicine	Blood eosinophils as biomarkers of therapeutic response to chronic obstructive pulmonary disease: Still work in progress.	Disease phenotyping is a key step towards an increasingly personalized approach to chronic obstructive pulmonary disease (COPD), leading to a more precise assessment, treatment and definition of disease outcomes. The search for biomarkers able to guide the identification of COPD phenotypes are of great importance for both researchers and clinicians. However, while several biomarkers of inflammation [e.g., peripheral blood eosinophils and fractional expired nitric oxide] have been identified and applied in asthma, none has been successfully linked to discrete clinical parameters of COPD such as exacerbations, natural progression, and treatment response or mortality risk. Recently, several studies have shown that blood eosinophils are a potential biomarker for patient subset stratification in COPD therapy. Here we reviewed the value of blood eosinophils in predicting the response of COPD patients to treatment.	2019	eng	Review	Netherlands	31307853	https://www.ncbi.nlm.nih.gov/pubmed/31307853	asthma	-7292285110016212249
2	2	269	Annals of rehabilitation medicine	Identifying Risk of Depressive Symptoms in Adults With Physical Disabilities Receiving Rehabilitation Services: Propensity Score Approaches.	Our findings suggest that adults with physical disabilities receiving rehabilitation services have higher risk of developing depressive symptoms. Therefore, rehabilitation professionals need to pay attention to depressive symptoms and establish therapeutic strategies that can reduce such risk in rehabilitation settings.	2019	eng	Journal Article	Korea (South)	31311246	https://www.ncbi.nlm.nih.gov/pubmed/31311246	depression	-6151852268067518688
3	3	581	Stroke	Caution.	 	2019	eng	Editorial	United States	31303154	https://www.ncbi.nlm.nih.gov/pubmed/31303154	stroke	2448026894306402386
4	4	557	Saudi journal of gastroenterology : official journal of the Saudi Gastroenterology Association	Development of pancreatic cancer during observation for hepatocellular carcinoma: A retrospective cohort study.	Increased incidence of pancreatic cancer was found in patients under observation for HCC in a relatively small cohort. HCC or other common underlying conditions might be a risk factor for development of pancreatic cancer.	2019	eng	Journal Article	India	31274472	https://www.ncbi.nlm.nih.gov/pubmed/31274472	Cirrhosis	-2826566343807132236
5	5	337	FEBS letters	Egr-1 transcriptionally activates protein phosphatase PTP1B to facilitate hyperinsulinemia-induced insulin resistance in the liver in type 2 diabetes.	During the development of type 2 diabetes mellitus (T2DM), hyperinsulinemia is the earliest symptom. It is believed that long-term high insulin stimulation might facilitate insulin resistance in the liver, but the underlying mechanism remains unknown. Herein, we report that hyperinsulinemia could induce persistent early growth response gene-1 (Egr-1) activation in hepatocytes, which provides negative feedback inhibition of insulin sensitivity by inducing the expression of protein tyrosine phosphatase-1B (PTP1B). Deletion of Egr-1 in the liver remarkably decreases glucose production, thus improving systemic glucose tolerance and insulin sensitivity. Mechanistic analysis indicates that Egr-1 inhibits insulin receptor (InsR) phosphorylation by directly activating PTP1B transcription in the liver. Our results reveal the molecular mechanism by which hyperinsulinemia accelerates insulin resistance in hepatocytes during the progression of T2DM. This article is protected by copyright. All rights reserved.	2019	eng	Journal Article	England	31309546	https://www.ncbi.nlm.nih.gov/pubmed/31309546	diabetes	-2148899391355011268
6	6	573	Revista espanola de salud publica	[Smoking control in Spain: current situation and priorities].	Este trabajo presenta un análisis estratégico de la prevención del tabaquismo en España. A partir de una revisión de la situación de la epidemia y de las políticas de prevención vigentes con los datos disponibles en el año 2019, se plantean los problemas prioritarios para mejorar la prevención del tabaquismo, proponiendo unas estrategias y acciones clave para el futuro. Considerando como grandes objetivos evitar el inicio en el tabaquismo y ayudar a los fumadores a dejar el consumo de tabaco, se valoran las diversas estrategias de actuación y las acciones clave a desarrollar. Además de ayudar a los fumadores a dejar de fumar desde los servicios sanitarios, destacan como acciones clave de prevención diversas políticas públicas como la política fiscal, la prohibición de la publicidad y otras formas de promoción, la regulación de los envases del tabaco, la generalización de los espacios sin humo, y la información a la ciudadanía sobre sus efectos perjudiciales. Algunas han seguido una evolución favorable en España, pero en otras hay amplio margen de mejora. La estrategia MPOWER de la Organización Mundial de la Salud ofrece una guía para el desarrollo de las políticas más efectivas de control del tabaquismo. A su luz, se recomienda poner énfasis en acciones relativas a ampliar las normas sobre aire limpio, en desarrollar servicios de apoyo a distancia para dejar de fumar, en realizar periódicamente campañas publicitarias de amplia cobertura para fomentar el abandono del tabaco, en reforzar el apoyo para dejar de fumar desde los servicios sanitarios, en financiar los tratamientos farmacológicos, en ampliar la prohibición de la publicidad de tabaco a los dispositivos electrónicos que liberan nicotina, y en incrementar la carga fiscal sobre el conjunto de labores de tabaco y otros productos con nicotina.	2019	spa	Journal Article	Spain	31298227	https://www.ncbi.nlm.nih.gov/pubmed/31298227	smoking	4119190424078847945
7	7	130	Diagnosis (Berlin, Germany)	Assessing diagnostic error in cerebral venous thrombosis via detailed chart review.	Background Diagnostic error in cerebral venous thrombosis (CVT) has been understudied despite the harm associated with misdiagnosis of other cerebrovascular diseases as well as the known challenges of evaluating non-specific neurological symptoms in clinical practice. Methods We conducted a retrospective cohort study of CVT patients hospitalized at a single center. Two independent reviewers used a medical record review tool, the Safer Dx Instrument, to identify diagnostic errors. Demographic and clinical factors were abstracted. We compared subjects with and without a diagnostic error using the t-test for continuous variables and the chi-square (χ2) test or Fisher's exact test for categorical variables; an alpha of 0.05 was the cutoff for significance. Results A total of 72 CVT patients initially met study inclusion criteria; 19 were excluded due to incomplete medical records. Of the 53 patients included in the final analysis, the mean age was 48 years and 32 (60.4%) were women. Diagnostic error occurred in 11 cases [20.8%; 95% confidence interval (CI) 11.8-33.6%]. Subjects with diagnostic errors were younger (42 vs. 49 years, p = 0.13), more often women (81.8% vs. 54.8%, p = 0.17), and were significantly more likely to have a past medical history of a headache disorder prior to the index CVT visit (7.1% vs. 36.4%, p = 0.03). Conclusions Nearly one in five patients with complete medical records experienced a diagnostic error. Prior history of headache was the only evaluated clinical factor that was more common among those with an error in diagnosis. Future work on distinguishing primary from secondary headaches to improve diagnostic accuracy in acute neurological disease is warranted.	2019	eng	Journal Article	Germany	31271550	https://www.ncbi.nlm.nih.gov/pubmed/31271550	headache	-7926018713416777892
8	8	740	Hypertension (Dallas, Tex. : 1979)	Effects of Nilvadipine on Cerebral Blood Flow in Patients With Alzheimer Disease.	Cerebrovascular changes, including reduced cerebral blood flow (CBF), occur early in the development of Alzheimer disease and may accelerate disease progression. This randomized, double-blind, placebo-controlled study investigated how 6 months of treatment with the calcium antagonist nilvadipine would affect CBF in patients with mild-to-moderate Alzheimer disease. CBF was measured with magnetic resonance arterial spin labeling in whole-brain gray matter and in a priori defined regions of interest including the hippocampus. Fifty-eight patients were randomly assigned (29 in each group), of whom 22 in both groups had no magnetic resonance exclusion criteria and were medication compliant over 6 months. Mean age was 72.8±6.2 years, mean mini-mental state examination was 20.4±3.4. Nilvadipine treatment lowered systolic blood pressure (Δ=-11.5 [95% CI, -19.7 to -3.2] mm Hg; P<0.01), while whole-brain gray-matter CBF remained stable (Δ=5.4 [95% CI, -6.4 to 17.2] mL/100 g per minute; P=0.36). CBF in the hippocampus increased (left: Δ=24.4 [95% CI, 4.3-44.5] mL/100 g per minute; P=0.02; right: Δ=20.1 [95% CI, -0.6 to 40.8] mL/100 g per minute; P=0.06). There was no significant change in CBF in the posterior cingulate cortex (Δ=5.2 [95% CI, -16.5 to 27.0] mL/100 g per minute; P=0.63) or other regions of interest. In conclusion, nilvadipine reduced blood pressure and increased CBF in the hippocampus, whereas other regions showed stable or small nonsignificant increases in CBF. These findings not only indicate preserved cerebral autoregulation in Alzheimer disease but also point toward beneficial cerebrovascular effects of antihypertensive treatment. Clinical Trial Registration- URL: http://www.clinicaltrials.gov . Unique identifier: NCT02017340.	2019	eng	Journal Article	United States	31203725	https://www.ncbi.nlm.nih.gov/pubmed/31203725	Alzheimer	3353902017498793780
9	9	400	 	Nicotinic Acetylcholine Receptors in Regulation of Pathology of Cerebrovascular Disorders	Cerebrovascular disorders including ischemic stroke, intracerebral hemorrhage and subarachnoid hemorrhage are among the major clinical concerns for which effective therapies are poorly available. Accumulating lines of evidence indicate that drugs acting on nicotinic acetylcholine receptors (nAChRs) may provide therapeutic effects on these disorders, based on their neuroprotective and anti-inflammatory actions. For example, the cholinergic neurotransmission in the central nervous system via nAChRs may function as an endogenous neuroprotective system that prevents pathogenic events associated with ischemic stroke. On the other hand, exogenous administration of nicotine or nAChR agonists to experimental models of ischemic stroke has been reported to produce conflicting results (either protective or deleterious), which may be largely dependent on the different regiments of drug treatments. With regard to intracerebral hemorrhage, preclinical findings suggest that post-treatment with nAChR agonists is effective in alleviating brain tissue damage and neurological outcome. The beneficial actions of nAChR agonist have also been reported for an experimental model of subarachnoid hemorrhage, which should be confirmed by further investigations. Although smoking has been considered as an important risk factor for stroke episodes, specific targeting of the central nAChRs may prove to be an effective and novel strategy for the treatment of diverse types of cerebrovascular disorders.	2019	eng	Review	 	31314414	https://www.ncbi.nlm.nih.gov/pubmed/31314414	smoking	-9157338616628196758
