 	Primary Angioplasty: Efficacy and Outcomes	Internationally ischaemic heart disease (IHD) is the single most common cause of death, and its frequency is increasing. The relative incidences of ST-elevation myocardial infarction (STEMI) and non-ST-elevation myocardial infarction (NSTEMI) are decreasing and increasing, respectively. In European countries, the incidence rate for STEMI ranges from 43 to 144 per 100,000 population per year. Similarly, the reported adjusted incidence rates from the USA decreased from 133 per 100,000 in 1999 to 50 per 100,000 in 2008, whereas the incidence of NSTEMI remained constant or increased slightly. STEMI is more common in younger than in older people and is more common in men than in women.	2019	eng	Review	 	31314430	https://www.ncbi.nlm.nih.gov/pubmed/31314430	heart+disease
Molecular and cellular endocrinology	Nicotine induces insulin resistance via downregulation of Nrf2 in cardiomyocyte.	Clinical studies have demonstrated that cigarette smoking is strongly associated with insulin resistance and heart disease. Nicotine is considered the primary toxin constituent associated with smoking. However, the distinct molecular mechanism of nicotine-induced cardiac dysfunction remains unclear. Cardiomyocytes with nicotine-induced insulin resistance are characterized by decreased glucose uptake, as measured by 2-[N-(7-Nitrobenz-2-oxa-1,3-diazol-4-yl)amino]-2-deoxy-d-glucose (2-NBDG), a fluorescent derivative of glucose, and reactive oxygen species (ROS) generation. Immunoblotting was used to evaluate the expression of nuclear factor erythroid 2-related factor 2 (Nrf2), extracellular signal-related kinase (ERK) and phosphoinositide 3-kinase (PI3K, p85, Y607). We determined the impact of nicotine on insulin resistance and Nrf2, phospho-ERK and phospho-PI3K expression in the myocardial tissue of a mouse model. Nicotine increased ROS production and depressed insulin-induced glucose uptake in cardiomyocytes. Pretreatment with N-acetyl-L-cysteine (NAC), an antioxidant, reversed nicotine-inhibited glucose uptake induced by insulin. Nicotine exposure directly inhibited Nrf2 and increased ERK phosphorylation in cardiomyocytes, which were obstructed by NAC. Further exploration of signaling cascades revealed nicotine-induced ROS involved in inhibiting PI3K/Nrf2 and activating ERK in cardiomyocytes. Moreover, the mouse model treated with nicotine showed glucose intolerance and impaired insulin tolerance accompanied by inhibited PI3K/Nrf2 and increased ERK in myocardial tissues. Thus, nicotine induces insulin resistance via the downregulation of Nrf2 activity in cardiomyocytes, which is a potential mechanism of the pharmacological effects of nicotine. This study identified potential therapeutic targets against nicotine-related cardiovascular diseases.	2019	eng	Journal Article	Ireland	31315024	https://www.ncbi.nlm.nih.gov/pubmed/31315024	heart+disease
Journal of tissue engineering and regenerative medicine	Deformation imaging to assess global and regional effects of cardiac regenerative therapy in ischemic heart disease - a systematic review.	6 studies found a positive effect on deformation outcomes without LVEF improvement. Hence, deformation imaging seems at least equal, and perhaps superior, to LVEF measurement in the assessment of cardiac regenerative therapy. However, strategies varied substantially and call for a standardized approach.	2019	eng	Review	England	31314949	https://www.ncbi.nlm.nih.gov/pubmed/31314949	heart+disease
The Permanente journal	Pseudomyxoma Peritonei-An Unusual Cause of Ascites: A Case Report.	Pseudomyxoma peritonei is a rare cause of low SAAG ascites. It is characterized by the deposition of mucinous material on the peritoneal surfaces. The most common site of origin is the appendix, although it can arise from other intraabdominal organs as well. Excision of the tumor combined with intraperitoneal chemotherapy is the preferred modality of treatment.	2019	eng	Journal Article	United States	31314718	https://www.ncbi.nlm.nih.gov/pubmed/31314718	heart+disease
Biotechnology and applied biochemistry	Combinational effect of angiotensin receptor blocker and folic acid therapy on uric acid and creatinine level in hyperhomocysteinemia associated hypertension.	Homocysteine [HSCH2CH2CH(NH2)COOH] (Hcy), is a sulfur-containing amino acid of 135.18 Da of molecular weight, generated during conversion of methionine to cysteine. If there is a higher accumulation of Hcy in the blood, i.e. usually above 15 µmol/L, it leads to a condition referred to as hyperhomocysteinemia. A meta-analysis of observational study suggested an elevated concentration of Hcy in blood, which is termed as the risk factors leading to ischemic heart disease (IHD) and stroke. Further experimental studies stated that Hcy can lead to an increase in the proliferation of vascular smooth muscle cells and functional impairment of endothelial cells. The analyses confirmed some of the predictors for Hcy presence, such as serum uric acid (UA), systolic blood pressure, and hematocrit. However, angiotensin-converting enzyme inhibitors Angiotensin-converting enzyme (ACE) inhibitors and angiotensin converting enzyme inhibitors (ARBs) (except losartan) alone are inadequate for controlling UA and creatinine level, although the addition of folic acid may be beneficial in hypertensive patients who are known to have a high prevalence of elevated Hcy. We hypothesized that combination therapy with an ARB (olmesartan) and folic acid is a promising treatment for lowering the UA and creatinine level in hyperhomocysteinemia associated hypertension. This article is protected by copyright. All rights reserved.	2019	eng	Review	United States	31314127	https://www.ncbi.nlm.nih.gov/pubmed/31314127	heart+disease
Archivos de cardiologia de Mexico	Sudden Death Report in Mexico (1998-2014).	Existe una subregistro de información epidemiológica oficial; poner el problema real en perspectiva ayudaría a establecer políticas públicas adecuadas tanto para la prevención como para la investigación de las causas de la MS en México.	2019	eng	Journal Article	Mexico	31314013	https://www.ncbi.nlm.nih.gov/pubmed/31314013	heart+disease
Archivos de cardiologia de Mexico	Comparación de oxímetros para detección de cardiopatías congénitas críticas.	El oxímetro ChoiceMMed® presentó mayor cantidad de falsos positivos y mayor tiempo de realización del tamiz cardíaco en comparación al Masimo SET®, sin embargo, ambos presentan un valor predictivo negativo del 100%, siendo igualmente útiles como método de detección de cardiopatías críticas.	2019	eng	Journal Article	Mexico	31314010	https://www.ncbi.nlm.nih.gov/pubmed/31314010	heart+disease
Archivos de cardiologia de Mexico	The world database for pediatric and congenital heart surgery: A collaboration with the Registro Nacional de Cirugía Cardiaca Pediátrica.	Esta asociación promovería el deseo de los países de seguir desarrollando procesos de mejora de la calidad y mejorar el tratamiento general de los niños con cardiopatía congénita.	2019	eng	Journal Article	Mexico	31314005	https://www.ncbi.nlm.nih.gov/pubmed/31314005	heart+disease
Archivos de cardiologia de Mexico	La regionalización de la atención de cardiopatías congénitas: una meta pendiente.	Las cardiopatías congénitas son consideradas las malformaciones más frecuentes. En México cada año entre 12 y 16 mil niños nacen con algún tipo de cardiopatía congénita, y es la segunda causa de mortalidad en menores de 1 año y en niños de entre 1 y 4 años. Se analiza la problemática de la atención de las cardiopatías congénitas desde una perspectiva de políticas de salud en el país, con énfasis en lograr regionalizar su atención con el fin de racionalizar la utilización de los recursos disponibles y con el objetivo de atender al mayor número de pacientes y lograr los mejores resultados clínicos. Se enfatiza la necesidad de promover la cooperación entre las diferentes organizaciones de la sociedad civil y las instituciones para intercambiar ideas que permitan crear consensos y proyectos conjuntos para una mejor utilización de los recursos disponibles para lograr la atención universal y de calidad de los niños con cardiopatía congénita en todo el país.	2019	eng	Journal Article	Mexico	31314004	https://www.ncbi.nlm.nih.gov/pubmed/31314004	heart+disease
Scandinavian journal of caring sciences	A place of understanding: Patients' lived experiences of participating in a sexual rehabilitation programme after heart disease.	The findings highlight the importance of a professional setting including certain competencies such as humour and professional skills when handling the after-care of cardiovascular patients with sexual problems.	2019	eng	Journal Article	Sweden	31313855	https://www.ncbi.nlm.nih.gov/pubmed/31313855	heart+disease
JMIR medical informatics	Improving the Efficacy of the Data Entry Process for Clinical Research With a Natural Language Processing-Driven Medical Information Extraction System: Quantitative Field Research.	Our system could improve both the accuracy and efficiency of the data entry process.	2019	eng	Journal Article	Canada	31313661	https://www.ncbi.nlm.nih.gov/pubmed/31313661	heart+disease
Congenital heart disease	Detection of arrhythmias in adult congenital heart disease patients with LINQ	ILRs are a useful adjunct for arrhythmia monitoring in the ACHD population with clinically relevant events in 41% of patients. A special consideration for ILRs could be made for high-risk asymptomatic patients.	2019	eng	Journal Article	United States	31313513	https://www.ncbi.nlm.nih.gov/pubmed/31313513	heart+disease
Journal of nephrology	A simple risk score for prediction of sepsis associated-acute kidney injury in critically ill patients.	The novel risk score model for SA-AKI in ICU can identify patients at high risk to develop AKI. Application of this model could help clinicians to stratify patients for primary prevention, surveillance and early therapeutic intervention to improve care and prognosis of sepsis patients in ICU.	2019	eng	Journal Article	Italy	31313123	https://www.ncbi.nlm.nih.gov/pubmed/31313123	heart+disease
Herz	Pulmonary hypertension and valvular heart disease.	Pulmonary hypertension (PH) is an important contributor to morbidity and mortality in patients with left-sided heart disease, including valvular heart disease. In this context, elevated left atrial pressure primarily leads to the development of post-capillary PH. Despite the fact that repair of left-sided valvular heart disease by surgical or interventional approaches will improve PH, recent studies have highlighted that PH (pre- or post-interventional) remains an important predictor of long-term outcome. Here, we review the current knowledge on PH in valvular heart disease taking into account new hemodynamic PH definitions, and the distinction between post- and pre-capillary components of PH. A specific focus is on the precise characterization of hemodynamics and cardiopulmonary interaction, and on potential strategies for the management of residual PH after mitral or aortic valve interventions. In addition, we highlight the clinical significance of tricuspid regurgitation, which may occur as a primary condition or as a consequence of PH and right heart dilatation (functional). In this context, proper patient selection for potential tricuspid valve interventions is crucial. Finally, the article highlights gaps in evidence, and points toward future perspectives.	2019	eng	Journal Article	Germany	31312873	https://www.ncbi.nlm.nih.gov/pubmed/31312873	heart+disease
